186;302	3;891717742
11;725	3;891905568
92;846	3;886443471
103;127	4;880416331
11;110	3;891905324
87;2	4;879876074
45;763	2;881013563
291;732	4;874868097
177;209	4;880130736
299;235	1;877878184
29;332	4;882820869
30;435	5;885941156
297;182	3;875239125
23;172	4;874785889
321;496	4;879438607
191;754	3;891560366
106;778	4;881453040
178;678	3;882823530
94;168	5;891721378
190;302	5;891033606
112;289	5;884992690
144;106	3;888104684
85;501	3;880838306
301;202	5;882076211
145;743	1;888398516
294;127	5;877819265
103;121	3;880415766
286;231	3;877532094
6;357	4;883602422
158;72	3;880135118
297;736	4;875239975
250;244	4;878089786
57;760	2;883697617
23;1006	3;874785809
301;1228	4;882079423
307;265	3;877122816
276;1095	1;877935135
92;24	3;875640448
276;38	3;874792574
286;34	5;877534701
1;90	4;878542300
311;5	3;884365853
36;307	4;882157227
128;228	3;879969329
248;475	5;884535446
95;1229	2;879198800
203;181	5;880434278
308;863	3;887736881
198;100	1;884207325
297;307	4;878771124
305;189	5;886323303
266;676	3;892257897
197;229	3;891410039
74;272	5;888333194
177;56	5;880130618
45;473	3;881014417
57;28	4;883698324
238;252	3;883576644
159;127	5;880989744
92;219	4;875654888
318;356	4;884496671
178;282	3;882823978
319;313	5;889816026
54;685	3;880935504
303;209	5;879467328
314;95	5;877888168
95;1206	4;888956137
80;582	3;887401701
303;435	5;879466491
62;258	5;879371909
77;195	5;884733695
99;742	5;885679114
291;1028	3;875086561
83;338	4;883868647
108;50	4;879879739
94;347	5;891724950
314;1263	2;877890611
271;111	4;885847956
314;276	1;877886413
313;96	5;891015144
215;144	4;891435107
279;1376	4;886016680
184;181	4;889907426
276;550	4;874792574
279;1182	3;875314370
216;69	5;880235229
291;250	4;874805927
28;95	3;881956917
29;539	2;882821044
291;471	4;874833746
297;218	3;875409827
308;559	4;887740367
87;211	5;879876812
238;756	3;883576476
178;209	4;882826944
186;470	5;879023693
299;615	4;878192555
109;101	1;880578186
157;250	1;886890296
47;995	3;879440429
94;9	5;885872684
244;409	4;880605294
276;246	4;874786686
106;107	4;883876961
216;697	4;883981700
294;1199	2;889242142
323;257	2;878739393
140;268	4;879013684
220;303	4;881198014
67;64	5;875379211
170;299	3;886190476
299;641	4;889501514
44;250	5;878346709
291;214	4;874868146
11;741	5;891902745
174;395	1;886515154
57;204	4;883698272
314;417	4;877888855
184;155	3;889912656
159;1037	2;884360502
186;983	3;879023152
286;721	3;877532329
316;306	4;880853072
280;781	4;891701699
71;134	3;885016614
306;242	5;876503793
64;684	4;889740199
303;277	3;879468547
198;135	5;884208061
98;47	4;880498898
299;971	2;889502353
238;111	4;883576603
42;185	4;881107449
258;288	1;885700919
291;578	4;874835242
305;187	4;886323189
184;71	4;889911552
94;556	3;891722882
158;1011	4;880132579
174;237	4;886434047
158;190	5;880134332
276;43	1;874791383
62;1073	4;879374752
109;975	3;880572351
73;357	5;888626007
83;118	3;880307071
64;778	5;889739806
244;89	5;880602210
219;347	1;889386819
125;997	2;892838976
279;487	3;890282182
76;582	3;882607444
244;380	4;880608133
271;220	3;885848179
321;287	3;879438857
306;864	3;876504286
57;1047	4;883697679
145;591	4;879161848
85;277	2;879452938
145;260	4;875269871
208;202	4;883108476
141;274	5;884585220
177;299	4;880130500
297;1016	3;874955131
244;167	3;880607853
286;709	4;877532748
167;364	3;892738212
99;181	5;885680138
56;196	2;892678628
43;151	4;875975613
197;515	5;891409935
57;756	3;883697730
62;24	4;879372633
323;223	4;878739699
271;410	2;885848238
307;509	3;877121019
54;298	4;892681300
311;385	5;884365284
290;82	4;880473918
279;491	5;875296435
290;393	3;880475169
145;393	5;875273174
305;61	4;886323378
276;180	5;874787353
323;298	4;878739275
125;239	5;892838375
244;652	5;880606533
135;431	2;879857868
221;1059	4;875245077
42;69	4;881107375
219;882	3;889386741
125;152	1;879454892
311;172	5;884364763
313;148	2;891031979
6;143	2;883601053
305;960	1;886324362
226;147	3;883889479
204;340	5;892389195
186;281	4;879023390
6;275	4;883599102
135;449	3;879857843
286;258	4;877530390
303;65	4;879467436
184;100	5;889907652
1;64	5;875072404
325;485	3;891478599
142;181	5;888640317
291;571	2;875086608
294;676	3;877821514
195;265	4;888737346
121;509	5;891388145
279;509	3;875296552
280;472	2;891702086
221;780	3;875246552
175;96	3;877108051
311;1222	3;884366010
44;120	4;878346977
318;257	5;884471030
320;117	4;884748641
236;265	2;890116191
83;139	3;880308959
280;128	3;891701188
43;52	4;883955224
303;87	3;879466421
318;631	4;884496855
174;160	5;886514377
188;769	2;875074720
94;89	3;885870284
158;85	4;880135118
221;69	4;875245641
196;67	5;881252017
159;685	4;880557347
99;182	4;886518810
175;71	4;877107942
326;22	4;879874989
303;291	3;879484804
56;235	1;892911348
11;190	3;891904174
162;181	4;877635798
320;177	5;884749360
6;294	2;883599938
42;684	4;881108093
62;365	2;879376096
11;660	3;891904573
56;797	4;892910860
305;923	5;886323237
67;1095	4;875379287
36;883	5;882157581
308;298	5;887741383
284;305	4;885328906
191;752	3;891560481
303;1315	3;879544791
305;529	5;886324097
22;79	4;878887765
197;294	4;891409290
42;603	4;881107502
299;186	3;889503233
279;709	4;875310195
279;789	4;875306580
279;919	3;892864663
178;73	5;882827985
111;313	4;891679901
94;625	4;891723086
303;302	4;879465986
299;516	4;889503159
62;464	4;879375196
56;69	4;892678893
92;289	3;875641367
308;378	3;887740700
244;155	3;880608599
236;313	4;890115777
37;55	3;880915942
303;369	1;879544130
75;409	3;884050829
197;518	1;891409982
314;692	5;877888445
99;597	4;885679210
303;323	1;879466214
66;249	4;883602158
280;204	3;891700643
301;174	5;882075827
92;1142	4;886442422
99;410	5;885679262
221;1250	2;875247855
313;673	4;891016622
67;147	3;875379357
294;222	4;877819353
87;775	2;879876848
314;1289	2;877887388
81;3	4;876592546
57;926	3;883697831
280;544	4;891701302
109;797	3;880582856
236;286	5;890115777
174;471	5;886433804
11;517	2;891905222
314;1518	4;877891426
92;106	3;875640609
276;406	2;874786831
276;34	2;877934264
23;170	4;874785348
244;7	4;880602558
95;416	4;888954961
28;98	5;881961531
28;173	3;881956220
94;455	3;891721777
276;384	3;874792189
77;238	5;884733965
38;139	2;892432786
291;226	5;874834895
113;326	5;875935609
313;191	5;891013829
44;123	4;878346532
297;628	4;874954497
279;116	1;888799670
308;581	4;887740500
62;138	1;879376709
81;824	3;876534437
41;28	4;890687353
280;554	1;891701998
178;106	2;882824983
221;204	4;875246008
318;659	4;884495868
186;385	4;879023894
303;1095	2;879543988
198;179	4;884209264
99;168	5;885680374
126;262	4;887854726
109;31	4;880577844
156;276	3;888185854
276;583	3;874791444
208;88	5;883108324
279;65	1;875306767
43;64	5;875981247
308;435	4;887737484
42;1041	4;881109060
93;412	2;888706037
125;1180	3;892838865
70;50	4;884064188
177;960	3;880131161
75;476	1;884050393
62;401	3;879376727
158;414	4;880135118
279;42	4;875308843
43;66	4;875981506
276;291	3;874791169
38;432	1;892430282
92;453	1;875906882
311;180	4;884364764
198;214	4;884208273
291;466	5;874834768
92;79	4;875653198
314;1218	4;877887525
319;338	2;879977242
99;204	4;885679952
47;340	5;879439078
320;294	4;884748418
83;640	2;880308550
106;692	3;881453290
305;186	4;886323902
6;221	4;883599431
85;647	4;879453844
128;736	5;879968352
279;827	1;888426577
271;630	2;885848943
303;748	2;879466214
280;693	3;891701027
286;628	4;875806800
145;183	5;875272009
311;28	5;884365140
76;92	4;882606108
286;133	4;877531730
48;174	5;879434723
144;685	3;888105473
85;272	4;893110061
286;7	4;875807003
64;93	2;889739025
191;301	4;891561336
125;615	3;879454793
93;15	5;888705388
318;50	2;884495696
178;234	4;882826783
128;418	4;879968164
195;496	4;888737525
276;843	4;874792989
54;268	5;883963510
305;347	3;886308111
11;746	4;891905032
56;215	5;892678547
38;465	5;892432476
308;165	3;887736696
307;100	3;879206424
311;68	1;884365824
95;1230	1;888956901
303;182	5;879467105
145;13	5;875270507
50;253	5;877052550
145;1	3;882181396
109;100	4;880563080
99;895	3;885678304
145;50	5;885557660
244;216	4;880605869
316;588	1;880853992
85;175	4;879828912
124;50	3;890287508
291;54	4;874834963
316;292	4;880853072
271;514	4;885848408
277;1197	4;879543768
301;606	3;882076890
311;662	4;884365018
280;38	3;891701832
43;1057	2;884029777
311;661	3;884365075
145;299	4;875269822
248;174	3;884534992
327;191	4;887820828
297;286	5;874953892
70;584	3;884150236
145;460	1;875271312
48;259	4;879434270
83;413	1;891182379
92;521	4;875813412
43;284	5;883955441
286;689	5;884583549
85;133	4;879453876
276;85	3;874791871
311;366	5;884366010
320;399	3;884749411
114;175	5;881259955
42;121	4;881110578
106;660	4;881451631
313;71	4;891030144
94;186	4;891722278
44;230	2;883613335
311;505	4;884365451
320;202	4;884750946
113;329	3;875935312
276;789	3;874791623
204;172	3;892513819
78;412	4;879634223
85;98	4;879453716
279;393	1;875314093
42;606	3;881107538
142;243	1;888640199
43;631	2;883955675
195;387	4;891762491
95;174	5;879196231
44;530	5;878348725
176;294	2;886047220
157;405	3;886890342
251;144	5;886271920
178;148	4;882824325
30;82	4;875060217
271;11	4;885848408
42;456	3;881106113
311;568	5;884365325
308;634	4;887737334
308;166	3;887737837
57;831	1;883697785
271;211	5;885849164
299;238	4;877880852
279;1228	4;890779991
128;140	4;879968308
307;173	5;879283786
167;392	1;892738307
22;791	1;878887227
291;159	4;875087488
95;128	3;879196354
124;11	5;890287645
85;629	3;879454685
271;1266	2;885848943
