224;29	3;888104457
13;570	5;882397581
289;849	4;876789943
194;321	3;879520306
13;844	1;882397010
102;300	3;875886434
61;328	5;891206371
21;590	1;874951898
194;530	4;879521167
222;157	4;878181976
181;1324	1;878962464
201;332	2;884110887
13;685	5;882397582
82;73	4;878769888
194;1206	1;879554453
269;106	1;891451947
234;71	3;892334338
13;567	1;882396955
193;554	3;889126088
49;741	4;888068079
194;404	3;879522445
268;721	3;875743587
102;732	3;888804089
201;943	3;884114275
246;816	4;884925218
172;488	3;875537965
268;83	4;875309344
268;672	2;875744501
13;877	2;882140792
275;176	4;880314320
246;728	1;884923829
207;203	3;877124625
234;485	3;892079434
201;587	4;884140975
224;43	3;888104456
229;315	1;891632945
255;859	3;883216748
193;827	2;890859916
222;323	3;877562839
116;185	3;876453519
13;480	3;881515193
201;326	2;884111095
207;787	3;876079054
269;923	4;891447169
302;245	2;879436911
183;241	4;892323453
269;411	1;891451013
268;42	4;875310384
207;410	3;877838946
209;408	4;883417517
194;705	2;879524007
155;988	2;879371261
255;217	2;883216600
116;301	3;892683732
207;508	4;877879259
293;293	4;888904795
269;514	4;891449123
206;1394	1;888179981
222;153	4;878182416
207;98	4;875509887
222;298	4;877563253
116;262	3;876751342
181;597	3;878963276
5;423	4;875636793
254;286	1;887346861
289;7	4;876789628
275;523	4;880314031
181;1093	1;878962391
129;303	3;883244011
181;304	1;878961586
293;724	3;888907061
222;172	5;878183079
201;370	1;884114506
13;314	1;884538485
206;245	1;888179772
262;77	2;879794829
63;841	1;875747917
26;15	4;891386369
293;167	3;888907702
222;210	4;878184338
246;184	4;884921948
161;174	2;891170800
102;432	3;883748418
194;770	4;879525342
211;300	2;879461395
234;657	4;892079840
217;82	5;889069842
21;298	5;874951382
68;118	2;876974248
102;118	3;888801465
20;11	2;879669401
20;176	2;879669152
222;25	3;877563437
49;148	1;888068195
194;576	2;879528568
13;915	5;892015023
269;478	4;891448980
293;729	2;888907145
217;195	5;889069709
224;708	2;888104153
246;121	4;884922627
224;1208	1;888104554
116;248	3;876452492
201;37	2;884114635
155;748	2;879371261
262;91	3;879792713
102;1025	2;883278200
181;1322	1;878962086
17;508	3;885272779
181;1364	1;878962464
100;355	4;891375313
181;680	1;878961709
234;151	3;892334481
49;238	4;888068762
13;226	4;882397651
13;548	3;882398743
179;751	1;892151565
222;426	1;878181351
193;368	1;889127860
269;1020	4;891449571
269;136	4;891449075
26;257	3;891371596
26;7	3;891350826
207;14	4;875504876
293;931	1;888905252
102;264	2;883277645
255;879	3;883215660
101;282	3;877135883
268;68	4;875744173
49;758	1;888067596
102;313	3;887048184
13;305	4;881514811
234;500	3;892078890
293;1220	2;888907552
181;123	2;878963276
110;301	2;886987505
194;196	3;879524007
207;746	4;877878342
268;250	4;875742530
68;411	1;876974596
13;918	3;892524090
205;678	1;888284618
275;1066	3;880313679
49;473	3;888067164
13;273	3;882397502
293;148	1;888907015
183;96	3;891463617
179;258	5;892151270
268;205	5;875309859
82;15	3;876311365
262;258	4;879961282
82;208	3;878769815
63;237	3;875747342
293;227	2;888906990
82;216	4;878769949
181;20	1;878962919
194;410	3;879541042
207;133	4;875812281
254;380	4;886474456
61;690	2;891206407
222;1053	3;881060735
82;504	4;878769917
222;715	2;878183924
222;69	5;878182338
223;322	4;891548920
201;452	1;884114770
102;576	2;888802722
211;526	4;879459952
268;425	4;875310549
268;374	2;875744895
254;50	5;886471151
246;596	3;884921511
246;80	2;884923329
255;185	4;883216449
234;616	2;892334976
293;156	4;888905948
202;515	1;879726778
181;975	2;878963343
194;520	5;879545114
194;1183	2;879554453
269;961	5;891457067
207;754	4;879577345
201;777	1;884112673
293;484	5;888906217
269;640	5;891457067
5;394	2;879198031
201;475	4;884112748
133;258	5;890588639
110;245	3;886987540
5;384	3;875636389
234;596	2;891227979
275;183	3;880314500
207;170	4;877125221
289;1	3;876789736
49;102	2;888067164
222;58	3;878182479
194;213	2;879523575
293;705	5;888906338
194;470	3;879527421
202;172	3;879726778
207;290	2;878104627
201;2	2;884112487
49;695	3;888068957
102;391	2;888802767
116;750	4;886309481
281;332	4;881200603
224;22	5;888103581
194;756	1;879549899
15;20	3;879455541
21;928	3;874951616
222;1078	2;878183449
13;840	3;886261387
289;815	3;876789581
254;649	1;886474619
268;566	3;875744321
268;121	2;875743141
269;922	5;891457067
207;468	4;877124806
21;742	3;874951617
101;369	2;877136928
201;23	4;884111830
26;286	3;891347400
104;324	1;888442404
181;7	4;878963037
201;651	4;884111217
234;229	4;892334189
3;323	2;889237269
207;131	3;878104377
155;321	4;879370963
5;267	4;875635064
181;124	1;878962550
194;566	4;879522819
49;10	3;888066086
269;210	1;891449608
17;151	4;885272751
246;423	3;884920900
181;823	2;878963343
181;369	3;878963418
13;178	4;882139829
269;72	2;891451470
3;331	4;889237455
181;688	1;878961668
181;457	1;878961474
293;654	5;888905760
222;939	3;878182211
254;577	1;886476092
234;1035	3;892335142
262;185	3;879793164
211;678	3;879461394
194;971	3;879551049
207;1242	5;884386260
181;406	1;878962955
223;258	1;891548802
222;217	3;881060062
269;168	4;891448850
234;506	4;892318107
234;959	2;892334189
201;1211	3;884113806
181;359	1;878961668
13;42	4;882141393
268;99	3;875744744
183;562	3;891467003
302;309	2;879436820
63;150	4;875747292
201;375	3;884287140
13;94	3;882142057
201;844	2;884112537
268;432	3;875310145
224;258	3;888081947
289;410	2;876790361
133;328	3;890588577
293;1132	3;888905416
13;908	1;886302385
49;926	1;888069117
104;122	3;888465739
5;445	3;875720744
268;540	1;875542174
181;1346	1;878962086
217;566	4;889069903
193;682	1;889123377
293;157	5;888905779
13;300	1;881515736
194;431	4;879524291
13;180	5;882141248
49;546	1;888069636
82;218	3;878769748
116;1082	3;876453171
82;413	1;884714593
82;69	4;878769948
49;531	3;888066511
207;273	4;878104569
17;9	3;885272558
82;147	3;876311473
201;242	4;884110598
223;237	5;891549657
246;356	2;884923047
209;269	2;883589606
5;167	2;875636281
234;462	4;892079840
228;886	1;889387173
172;603	3;875538027
49;312	3;888065786
293;195	3;888906119
13;29	2;882397833
293;566	3;888907312
201;4	4;884111830
194;735	4;879524718
193;195	1;889124507
207;269	4;877845577
222;433	4;881059876
201;26	4;884111927
104;100	4;888465166
269;412	3;891446904
49;1	2;888068651
336;66	3;877756126
262;292	4;879961282
224;778	1;888104057
217;1222	1;889070050
207;642	3;875991116
269;180	3;891448120
129;270	3;883243934
13;508	3;882140426
201;558	2;884112537
293;87	4;888907015
201;480	4;884111598
201;980	3;884140927
222;554	2;881060435
201;823	3;884140975
107;305	4;891264327
246;202	3;884922272
181;1393	1;878961709
149;327	2;883512689
205;984	1;888284710
211;181	1;879461498
116;1016	2;876453376
183;405	4;891464393
207;576	3;877822904
100;750	4;891375016
234;671	3;892336257
234;584	3;892333653
234;638	4;892335989
110;79	4;886988480
13;45	3;882139863
100;266	2;891375484
293;521	3;888906288
293;849	2;888907891
234;966	4;892334189
181;1351	1;878962168
194;153	3;879546723
63;246	3;875747514
179;316	5;892151202
181;1198	1;878962585
21;445	3;874951658
268;823	2;875742942
254;141	3;886472836
13;820	4;882398743
201;991	4;884110735
102;559	3;888803052
116;187	5;886310197
234;72	3;892335674
255;984	1;883215902
161;582	1;891170800
224;301	3;888082013
194;216	3;879523785
222;501	2;881060331
207;529	4;878191679
181;926	1;878962866
13;509	5;882140691
201;87	3;884111775
223;470	4;891550767
82;495	3;878769668
207;1102	3;880839891
201;164	3;884112627
269;340	5;891446132
201;1424	3;884113114
181;321	2;878961623
234;209	4;892317967
5;426	3;878844510
246;578	2;884923306
254;596	4;886473852
3;294	2;889237224
262;406	3;879791537
35;1025	3;875459237
5;222	4;875635174
49;173	3;888067691
269;205	3;891447841
102;222	3;888801406
13;755	3;882399014
293;386	2;888908065
207;1098	4;877879172
110;1248	3;886989126
15;301	4;879455233
116;484	4;886310197
13;2	3;882397650
181;1067	1;878962550
13;830	1;882397581
201;210	2;884111270
209;258	2;883589626
246;98	4;884921428
194;162	3;879549899
268;252	3;875743182
5;453	1;879198898
223;845	4;891549713
293;124	4;888904696
224;1119	3;888082634
49;569	3;888067482
116;880	3;876680723
246;294	2;884924460
110;188	4;886988574
269;76	3;891448456
217;810	3;889070050
116;257	3;876452523
234;471	3;892335074
206;903	2;888180018
21;295	3;874951349
63;109	4;875747731
206;362	1;888180018
194;56	5;879521936
110;82	4;886988480
21;982	1;874951482
228;288	4;889387173
13;64	5;882140037
181;887	1;878962005
82;64	5;878770169
201;304	2;884110967
129;272	4;883243972
201;213	4;884111873
269;172	3;891449031
224;1442	3;888104281
255;258	4;883215406
102;195	4;888801360
217;578	5;889070087
104;1241	1;888465379
234;491	4;892079538
275;588	3;875154535
269;131	5;891449728
211;257	5;879461498
201;98	4;884111312
102;1030	1;892994075
201;32	3;884140049
262;217	3;879792818
13;859	1;882397040
246;1073	4;884921380
5;403	3;875636152
63;251	4;875747514
100;288	2;891374603
13;625	2;882398691
82;13	2;878768615
268;768	3;875744895
21;218	4;874951696
223;323	2;891549017
293;559	2;888906168
262;50	2;879962366
102;734	2;892993786
293;216	4;888905990
133;260	1;890588878
116;313	5;886978155
262;1278	4;879961819
275;252	2;876197944
13;428	5;882140588
268;946	3;875310442
234;283	3;891227814
336;108	3;877757320
246;215	2;884921058
13;913	1;892014908
21;439	1;874951820
82;275	2;884714125
217;685	5;889069782
13;212	5;882399385
223;1	4;891549324
246;196	3;884921861
217;540	1;889070087
234;1172	3;892079076
224;632	2;888103872
101;928	2;877136302
293;264	3;888904392
26;321	3;891347949
302;328	3;879436844
201;380	1;884140825
26;269	4;891347478
269;174	1;891449124
262;71	4;879794951
104;283	4;888465582
224;879	3;888082099
268;248	3;875742530
255;452	3;883216672
102;307	4;883748222
269;1014	3;891446838
49;732	3;888069040
181;1347	1;878962052
293;514	4;888906378
269;214	3;891448547
13;168	4;881515193
269;529	5;891455815
20;118	4;879668442
193;393	4;889126808
201;1187	3;884112201
234;628	2;892826612
224;977	2;888104281
269;405	1;891450902
63;948	3;875746948
13;856	5;886303171
5;173	4;875636675
194;519	4;879521474
201;198	4;884111873
49;117	1;888069459
5;241	1;875720948
194;62	2;879524504
49;72	2;888069246
246;426	3;884923471
110;1250	3;886988818
194;132	3;879520991
40;754	4;889041790
110;540	3;886988793
63;6	3;875747439
269;805	2;891450623
268;404	4;875309430
199;473	4;883783005
254;384	1;886475790
293;647	5;888905760
222;164	4;878181768
49;721	2;888068934
223;216	5;891550925
234;212	2;892334883
13;319	4;882139327
116;905	2;890131519
110;300	3;886987380
201;1063	3;884113453
63;301	5;875747010
179;895	5;892151565
13;312	1;883670630
15;278	1;879455843
102;66	3;892992129
293;251	4;888904734
206;333	4;888179565
336;577	1;877757396
275;191	4;880314797
21;678	2;874951005
13;860	1;882396984
102;67	1;892993706
275;969	2;880314412
269;474	4;891448823
13;540	3;882398410
102;809	3;888802768
254;240	1;886476165
234;486	3;892079373
262;15	3;879962366
40;258	3;889041981
101;1051	2;877136891
207;134	4;875991160
293;461	2;888905519
246;849	1;884923687
205;313	3;888284313
201;461	4;884113924
68;405	3;876974518
246;99	3;884922657
102;302	3;880680541
254;257	3;886471389
13;614	4;884538634
246;284	1;884922475
201;281	2;884112352
100;302	4;891374528
13;876	2;881515521
269;771	1;891451754
179;345	1;892151565
222;250	2;877563801
181;286	1;878961173
161;14	4;891171413
110;202	2;886988909
102;89	4;888801315
13;90	3;882141872
224;243	2;888082277
179;315	5;892151202
21;424	1;874951293
293;194	4;888906045
26;9	4;891386369
116;760	3;886309812
161;654	3;891171357
181;1051	2;878962586
223;298	5;891549570
13;263	5;881515647
40;340	2;889041454
222;700	3;881060550
246;109	5;884921794
20;186	3;879669040
201;676	2;884140927
269;608	4;891449526
20;172	3;879669181
49;53	4;888067405
246;802	1;884923471
13;788	1;882396914
207;1283	4;884386260
255;271	4;883215525
102;399	2;888802722
116;195	4;876453626
234;519	5;892078342
222;739	4;878184924
116;887	3;881246591
181;1362	1;878962200
269;486	3;891449922
262;1220	4;879794296
181;1265	1;878961668
222;293	3;877563353
207;186	4;877879173
255;551	1;883216672
13;782	3;885744650
193;693	4;889124374
13;440	1;882397040
102;83	3;888803487
275;202	3;875155167
222;93	2;883815577
194;52	4;879525876
201;955	3;884114895
269;959	5;891457067
269;15	2;891446348
269;483	4;891448800
246;17	2;884922658
217;797	4;889070011
234;14	3;891227730
222;231	2;878182005
15;620	4;879456204
68;178	5;876974755
293;210	3;888905665
269;484	3;891448895
269;1091	2;891451705
13;88	4;882141485
293;188	3;888906288
205;333	4;888284618
102;986	1;888802319
268;123	3;875742794
269;761	2;891451374
254;99	3;886473254
49;40	1;888069222
262;628	2;879962366
181;764	1;878962866
21;56	5;874951658
269;209	4;891448895
26;100	5;891386368
246;410	1;884923175
254;625	3;886473808
21;106	2;874951447
234;191	4;892334765
268;810	2;875744388
194;523	5;879521596
100;340	3;891374707
209;242	4;883589606
293;646	3;888906244
21;288	3;874950932
234;878	2;892336477
206;288	5;888179565
293;572	2;888907931
246;568	4;884922451
268;163	2;875743656
269;63	1;891450857
35;242	2;875459166
194;708	3;879528106
116;758	1;876452980
13;831	3;882398385
181;1291	1;878963167
269;482	3;891448823
13;315	5;884538466
201;8	3;884141438
193;1132	3;889127660
15;742	2;879456049
222;1239	2;881060762
268;154	4;875743563
102;202	4;892991269
201;454	2;884111830
201;275	4;884113634
13;794	4;882399615
181;301	2;878961303
102;186	4;888803487
234;316	4;891033851
222;972	2;881059758
254;501	3;886476281
193;328	3;889122993
82;705	3;878769598
21;995	2;874950932
5;234	2;875720692
102;62	3;888801812
116;259	4;876452186
269;664	5;891457067
234;292	4;891033821
15;137	4;879455939
222;756	4;877564031
68;245	3;876973777
268;16	3;875306691
110;734	2;886989566
293;125	2;888905086
194;51	4;879549793
222;155	4;878184113
211;310	3;879461394
223;249	2;891549876
224;322	2;888082013
268;552	2;876514108
179;354	4;892151331
293;300	2;888904004
102;121	3;888801673
269;188	2;891450675
155;294	3;879371194
104;342	3;888442437
194;511	4;879520991
201;150	4;884139983
206;1127	4;888180081
217;53	1;889069974
20;678	4;879667684
207;294	3;875504669
5;154	3;875636691
222;436	4;878184358
63;111	3;875747896
13;302	5;881514811
293;1098	2;888905519
234;142	2;892334852
3;332	1;889237224
21;670	3;874951696
268;228	4;875309945
82;178	4;878769629
193;673	4;889126551
21;219	5;874951797
222;577	1;878185137
21;591	3;874951382
129;313	3;883243934
13;208	5;882140624
13;421	2;882140389
222;550	3;878184623
49;369	1;888069329
110;332	3;886987287
209;351	2;883589546
